	180913_Top16_70_Blank_Pos	180913_Top16_70_fads2_Brain_1_Pos	180913_Top16_70_fads2_Brain_2_Pos	180913_Top16_70_fads2_Brain_3_Pos	180913_Top16_70_WT_Brain_1_Pos	180913_Top16_70_WT_Brain_2_Pos	180913_Top16_70_WT_Brain_3_Pos
Public/Private	Public	Private	Private	Private	Public	Public	Public
Category	Blank	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse
Tissue/Species	Blank	Brain	Brain	Brain	Brain	Brain	Brain
Genotype/Background	Blank	B6-fads2/J	B6-fads2/J	B6-fads2/J	C57BL/6J	C57BL/6J	C57BL/6J
Perturbation	Blank	No	No	No	No	No	No
Diet/Culture	Blank	CE2	CE2	CE2	CE2	CE2	CE2
Biological replicate	1	1	2	3	1	2	3
Technical replicate	1	1	1	1	1	1	1
Unit	Height	Height	Height	Height	Height	Height	Height
